year,asset_id,series_id,nominal_return
2015,DEMO-GROWTH,DEMO-GROWTH-TR,0.08
2015,DEMO-DEFENSIVE,DEMO-DEFENSIVE-TR,0.025
2016,DEMO-GROWTH,DEMO-GROWTH-TR,-0.04
2016,DEMO-DEFENSIVE,DEMO-DEFENSIVE-TR,0.018
2017,DEMO-GROWTH,DEMO-GROWTH-TR,0.14
2017,DEMO-DEFENSIVE,DEMO-DEFENSIVE-TR,0.022
2018,DEMO-GROWTH,DEMO-GROWTH-TR,-0.09
2018,DEMO-DEFENSIVE,DEMO-DEFENSIVE-TR,0.015
2019,DEMO-GROWTH,DEMO-GROWTH-TR,0.18
2019,DEMO-DEFENSIVE,DEMO-DEFENSIVE-TR,0.028
2020,DEMO-GROWTH,DEMO-GROWTH-TR,0.11
2020,DEMO-DEFENSIVE,DEMO-DEFENSIVE-TR,0.031
2021,DEMO-GROWTH,DEMO-GROWTH-TR,0.06
2021,DEMO-DEFENSIVE,DEMO-DEFENSIVE-TR,-0.01
2022,DEMO-GROWTH,DEMO-GROWTH-TR,-0.15
2022,DEMO-DEFENSIVE,DEMO-DEFENSIVE-TR,-0.06
2023,DEMO-GROWTH,DEMO-GROWTH-TR,0.12
2023,DEMO-DEFENSIVE,DEMO-DEFENSIVE-TR,0.035
2024,DEMO-GROWTH,DEMO-GROWTH-TR,0.09
2024,DEMO-DEFENSIVE,DEMO-DEFENSIVE-TR,0.027
2025,DEMO-GROWTH,DEMO-GROWTH-TR,0.07
2025,DEMO-DEFENSIVE,DEMO-DEFENSIVE-TR,0.024
