year,steady,growth,cash
1988,0.030,0.180,0.010
1989,0.030,-0.120,0.010
1990,0.030,0.160,0.010
1991,0.030,-0.100,0.010
1992,0.030,0.180,0.010
1993,0.030,-0.120,0.010
1994,0.030,0.160,0.010
1995,0.030,-0.100,0.010
1996,0.030,0.180,0.010
1997,0.030,-0.120,0.010
1998,0.030,0.160,0.010
1999,0.030,-0.100,0.010
2000,0.030,0.180,0.010
2001,0.030,-0.120,0.010
2002,0.030,0.160,0.010
2003,0.030,-0.100,0.010
2004,0.030,0.180,0.010
2005,0.030,-0.120,0.010
2006,0.030,0.160,0.010
2007,0.030,-0.100,0.010
2008,0.030,0.180,0.010
2009,0.030,-0.120,0.010
2010,0.030,0.160,0.010
2011,0.030,-0.100,0.010
2012,0.030,0.180,0.010
2013,0.030,-0.120,0.010
2014,0.030,0.160,0.010
2015,0.030,-0.100,0.010
2016,0.030,0.180,0.010
2017,0.030,-0.120,0.010
2018,0.030,0.160,0.010
2019,0.030,-0.100,0.010
2020,0.030,0.180,0.010
2021,0.030,-0.120,0.010
2022,0.030,0.160,0.010
2023,0.030,-0.100,0.010
